,ness_ID,Cincerta_transcript_ID,PID,aligned_sites,k0,k4,diffs0,sites0,diffs4,sites4,gene,transcript,SFS0,SFS4,pi0,pi4,chlamynet_connectivity,between_centrality
0,26888200,g6935.t1,0.05,4171,0.008692600022376415,0.18207552577683572,24,2777,113,699,Cre08.g362650,Cre08.g362650.t1.3,"[2775, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[609, 11, 17, 29, 6, 10, 6, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00022123841734509193,0.03977751559076352,10,20550.25529
1,26901315,g5327.t1,0.05,2257,0.002025659570349209,0.19896085182196072,3,1483,72,412,Cre03.g180850,Cre03.g180850.t1.2,"[1478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[408, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.001819937014353764,13,23421.28346
2,26889460,g16153.t1,0.09,2066,0.032846389520836135,0.2945000962236411,43,1338,104,427,g7529,g7529.t1,"[1308, 7, 0, 0, 4, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[398, 8, 0, 1, 1, 2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004516551659598781,0.019065762165845802,6,27879.994960000004
3,26890297,g2467.t1,0.3,1979,0.26491941675655833,0.6965878470912161,283,1268,201,443,g11944,g11944.t1,"[990, 40, 5, 9, 15, 4, 2, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[292, 37, 7, 11, 12, 10, 3, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01857745585796508,0.05811460386623786,9,159.89182780000002
4,26901230,g5450.t1,0.04,2367,0.007107526808383331,0.1346114927144076,11,1555,52,422,Cre03.g175200,Cre03.g175200.t1.2,"[1468, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[353, 17, 3, 7, 7, 1, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0005502087687303933,0.03040779703989068,11,25704.06214
5,26896857,g13041.t1,0.09,378,0.03338520555162884,0.3104818483320548,8,245,15,59,g18054,g18054.t2,"[417, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[112, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0022200487479235556,0.01096902529127593,87,220283.3474
6,26907898,g7311.t1,0.09,2328,0.04530444230481069,0.2551430822813765,67,1524,101,467,Cre12.g555550,Cre12.g555550.t1.2,"[1423, 6, 1, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[375, 17, 3, 6, 11, 2, 6, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0027407346805203305,0.03755115753466495,4,0.333333333
7,26889120,g16327.t1,0.07,1330,0.010856643130339287,0.30878146856088695,9,835,61,241,Cre07.g317850,Cre07.g317850.t1.2,"[820, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[217, 6, 1, 0, 2, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0011515339226010372,0.028984308209922507,1,0.0
8,26890492,g12710.t1,0.09,2208,0.03934155717579596,0.26831222630137336,55,1435,90,399,g11599,g11599.t1,"[1430, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[360, 11, 4, 5, 6, 4, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0007014187788936712,0.028557821788681974,8,15933.17294
9,26894846,g15403.t1,0.08,1433,0.04994609160220399,0.26230127287471755,46,952,56,253,g9673,g9673.t1,"[949, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[228, 8, 1, 7, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0011179008154503494,0.025911286780851996,5,59857.356060000006
10,26899301,g1362.t1,0.15,1200,0.09165342068569564,0.3831192178244929,66,765,75,250,Cre13.g592250,Cre13.g592250.t1.2,"[762, 6, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[241, 10, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0017231134878193705,0.007000955850060709,103,10056.141
11,26895341,g13769.t1,0.13,640,0.05624440242259207,0.39694449409112165,22,406,45,146,Cre09.g416800,Cre09.g416800.t1.2,"[403, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[139, 1, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0022215782864870083,0.012711291413116972,3,18070.62393
12,26902537,g2647.t1,0.13,750,0.05639398732498518,0.41624763155934597,27,497,46,144,Cre03.g198950,Cre03.g198950.t1.2,"[513, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[128, 0, 1, 5, 1, 0, 5, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00377997749712393,0.05486639100084479,49,12092.065709999999
13,26893684,g17610.t1,0.16,1780,0.10237811882791527,0.40304448836303425,109,1139,111,356,g6273,g6273.t1,"[1205, 6, 7, 2, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[339, 14, 9, 4, 10, 3, 2, 1, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004549062222009152,0.03772031520405934,5,21963.13435
14,26888068,g11713.t1,0.1,3588,0.041123790550602064,0.35019484093269165,96,2399,230,822,Cre08.g364400,Cre08.g364400.t1.3,"[1822, 11, 1, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[532, 28, 5, 0, 8, 5, 7, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0020471483862713113,0.03217697335344394,6,132377.2964
15,26889383,g10440.t1,0.16,2129,0.09683362194477857,0.430074263587827,125,1376,163,498,Cre07.g340000,Cre07.g340000.t1.3,"[1567, 1, 3, 1, 2, 5, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[519, 5, 11, 2, 1, 12, 4, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004068462401795735,0.03333333333333333,1,0.0
16,26893486,g17581.t1,0.15,4720,0.12521631930320998,0.3186623954739496,353,3061,243,936,g6239,g6239.t2,"[2910, 16, 2, 9, 24, 12, 2, 5, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[835, 17, 4, 9, 22, 9, 1, 3, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008488414343187598,0.027992776057791536,153,5839.892397
